BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
260000,4.1952,4.60597,4.60599,6.60465,5.57924,3.52547,3.30001,1.8196,4.15112,20976,6.19835,0,0
265000,4.28,4.59982,4.59983,6.60465,5.57924,3.52547,3.30001,1.8196,4.18979,21400,6.22668,0,0
270000,4.2448,4.59324,4.59327,6.60465,5.57924,3.52547,3.30001,1.8196,4.20629,21224,6.28468,0,0
275000,4.1216,4.58467,4.5847,6.60465,5.57924,3.52547,3.30001,1.8196,4.18088,20608,6.30943,0,0
280000,4.1216,4.5764,4.57642,6.60465,5.57924,3.52547,3.30001,1.8196,4.1631,20608,6.27132,0,0
285000,4.1808,4.56946,4.56949,6.60465,5.57924,3.52547,3.30001,1.8196,4.16841,20904,6.24465,0,0
290000,4.0176,4.55994,4.55997,6.60465,5.57924,3.52547,3.30001,1.8196,4.12317,20088,6.25261,0,0
295000,3.984,4.55018,4.55021,6.60465,5.57924,3.52547,3.30001,1.8196,4.08142,19920,6.18475,0,0
300000,4.1472,4.54347,4.5435,6.60465,5.57924,3.52547,3.30001,1.8196,4.10115,20736,6.12212,0,0
305000,3.9824,4.53427,4.53428,6.60465,5.57924,3.52547,3.30001,1.8196,4.06553,19912,6.15173,0,0
310000,4.0256,4.52606,4.5261,6.60465,5.57924,3.52547,3.30001,1.8196,4.05355,20128,6.09829,0,0
315000,4.1552,4.52018,4.52019,6.60465,5.57924,3.52547,3.30001,1.8196,4.08404,20776,6.08032,0,0
320000,3.9696,4.51157,4.5116,6.60465,5.57924,3.52547,3.30001,1.8196,4.04971,19848,6.12607,0,0
325000,4.0144,4.50393,4.50394,6.60465,5.57924,3.52547,3.30001,1.8196,4.03912,20072,6.07457,0,0
330000,4.1104,4.49796,4.49798,6.60465,5.57924,3.52547,3.30001,1.8196,4.0605,20552,6.05868,0,0
335000,3.9744,4.49015,4.49015,6.60465,5.57924,3.52547,3.30001,1.8196,4.03467,19872,6.09075,0,0
340000,4.0032,4.48299,4.48301,6.60465,5.57924,3.52547,3.30001,1.8196,4.02523,20016,6.05201,0,0
345000,4.1072,4.47754,4.47756,6.60465,5.57924,3.52547,3.30001,1.8196,4.04982,20536,6.03785,0,0
350000,4.0016,4.47074,4.47077,6.60465,5.57924,3.52547,3.30001,1.8196,4.03535,20008,6.07473,0,0
355000,4.0288,4.46452,4.46454,6.60465,5.57924,3.52547,3.30001,1.8196,4.03339,20144,6.05303,0,0
360000,4.0864,4.45927,4.45928,6.60465,5.57924,3.52547,3.30001,1.8196,4.04929,20432,6.05008,0,0
365000,4.0032,4.45302,4.45303,6.60465,5.57924,3.52547,3.30001,1.8196,4.03546,20016,6.07394,0,0
370000,4.0048,4.44696,4.44698,6.60465,5.57924,3.52547,3.30001,1.8196,4.02626,20024,6.0532,0,0
375000,4,4.441,4.44103,6.60465,5.57924,3.52547,3.30001,1.8196,4.01839,20000,6.0394,0,0
380000,4.0672,4.43608,4.4361,6.60465,5.57924,3.52547,3.30001,1.8196,4.03303,20336,6.02758,0,0
385000,3.9872,4.43025,4.43027,6.60465,5.57924,3.52547,3.30001,1.8196,4.01928,19936,6.04954,0,0
390000,3.9936,4.42466,4.42466,6.60465,5.57924,3.52547,3.30001,1.8196,4.01158,19968,6.02892,0,0
395000,4.1024,4.42058,4.4206,6.60465,5.57924,3.52547,3.30001,1.8196,4.03882,20512,6.01736,0,0
400000,3.9296,4.41444,4.41444,6.60465,5.57924,3.52547,3.30001,1.8196,4.00606,19648,6.05824,0,0
405000,4.0192,4.40956,4.40957,6.60465,5.57924,3.52547,3.30001,1.8196,4.01,20096,6.00908,0,0
410000,4.0896,4.40566,4.40567,6.60465,5.57924,3.52547,3.30001,1.8196,4.03388,20448,6.015,0,0
415000,3.944,4.4001,4.40012,6.60465,5.57924,3.52547,3.30001,1.8196,4.00692,19720,6.05082,0,0
420000,3.9584,4.39484,4.39485,6.60465,5.57924,3.52547,3.30001,1.8196,3.99236,19792,6.01037,0,0
425000,4.088,4.39123,4.39123,6.60465,5.57924,3.52547,3.30001,1.8196,4.02105,20440,5.98854,0,0
430000,3.9568,4.38618,4.3862,6.60465,5.57924,3.52547,3.30001,1.8196,4.00178,19784,6.03158,0,0
435000,4.0096,4.38185,4.38186,6.60465,5.57924,3.52547,3.30001,1.8196,4.00412,20048,6.00267,0,0
440000,4.12,4.37887,4.37888,6.60465,5.57924,3.52547,3.30001,1.8196,4.03889,20600,6.00619,0,0
445000,3.952,4.37408,4.3741,6.60465,5.57924,3.52547,3.30001,1.8196,4.01282,19760,6.05833,0,0
450000,4.0544,4.37052,4.37054,6.60465,5.57924,3.52547,3.30001,1.8196,4.02529,20272,6.01923,0,0
455000,4.0704,4.36723,4.36724,6.60465,5.57924,3.52547,3.30001,1.8196,4.03883,20352,6.03794,0,0
460000,3.9824,4.36304,4.36306,6.60465,5.57924,3.52547,3.30001,1.8196,4.0219,19912,6.05824,0,0
465000,4.032,4.35948,4.3595,6.60465,5.57924,3.52547,3.30001,1.8196,4.02493,20160,6.03285,0,0
470000,4.0448,4.35614,4.35614,6.60465,5.57924,3.52547,3.30001,1.8196,4.03089,20224,6.03739,0,0
475000,4.0736,4.35316,4.35319,6.60465,5.57924,3.52547,3.30001,1.8196,4.0437,20368,6.04634,0,0
480000,3.976,4.34923,4.34924,6.60465,5.57924,3.52547,3.30001,1.8196,4.02339,19880,6.06555,0,0
485000,4.0176,4.34581,4.34582,6.60465,5.57924,3.52547,3.30001,1.8196,4.02165,20088,6.03509,0,0
490000,4.088,4.34318,4.3432,6.60465,5.57924,3.52547,3.30001,1.8196,4.04156,20440,6.03248,0,0
495000,3.9584,4.3393,4.3393,6.60465,5.57924,3.52547,3.30001,1.8196,4.01661,19792,6.06234,0,0
500000,4.0048,4.33595,4.33596,6.60465,5.57924,3.52547,3.30001,1.8196,4.01307,20024,6.02492,0,0
505000,4.0752,4.33337,4.33338,6.60465,5.57924,3.52547,3.30001,1.8196,4.03171,20376,6.0196,0,0
510000,4.008,4.33018,4.33019,6.60465,5.57924,3.52547,3.30001,1.8196,4.0246,20040,6.04756,0,0
515000,4.04,4.32736,4.32737,6.60465,5.57924,3.52547,3.30001,1.8196,4.02922,20200,6.03689,0,0
520000,4.096,4.32514,4.32515,6.60465,5.57924,3.52547,3.30001,1.8196,4.04925,20480,6.04382,0,0
525000,3.9904,4.32195,4.32197,6.60465,5.57924,3.52547,3.30001,1.8196,4.0316,19952,6.07388,0,0
530000,4.0432,4.31932,4.31934,6.60465,5.57924,3.52547,3.30001,1.8196,4.03508,20216,6.04739,0,0
535000,4.0912,4.31719,4.3172,6.60465,5.57924,3.52547,3.30001,1.8196,4.05191,20456,6.05262,0,0
540000,3.9744,4.31401,4.31402,6.60465,5.57924,3.52547,3.30001,1.8196,4.02866,19872,6.07787,0,0
545000,4.0592,4.31168,4.31169,6.60465,5.57924,3.52547,3.30001,1.8196,4.03782,20296,6.04299,0,0
550000,4.064,4.30943,4.30943,6.60465,5.57924,3.52547,3.30001,1.8196,4.04568,20320,6.05673,0,0
555000,4.0416,4.30701,4.30702,6.60465,5.57924,3.52547,3.30001,1.8196,4.04445,20208,6.06851,0,0
560000,4.0464,4.30469,4.3047,6.60465,5.57924,3.52547,3.30001,1.8196,4.04504,20232,6.06668,0,0
565000,4.0032,4.30202,4.30203,6.60465,5.57924,3.52547,3.30001,1.8196,4.03249,20016,6.06756,0,0
570000,4.056,4.29986,4.29987,6.60465,5.57924,3.52547,3.30001,1.8196,4.03954,20280,6.04873,0,0
575000,4.0768,4.29792,4.29793,6.60465,5.57924,3.52547,3.30001,1.8196,4.05072,20384,6.05931,0,0
580000,4.0224,4.29554,4.29555,6.60465,5.57924,3.52547,3.30001,1.8196,4.04222,20112,6.07608,0,0
585000,4.0784,4.29369,4.2937,6.60465,5.57924,3.52547,3.30001,1.8196,4.05308,20392,6.06333,0,0
590000,3.9984,4.29119,4.29119,6.60465,5.57924,3.52547,3.30001,1.8196,4.03667,19992,6.07961,0,0
595000,4.0944,4.28953,4.28955,6.60465,5.57924,3.52547,3.30001,1.8196,4.05399,20472,6.05501,0,0
600000,4.064,4.28765,4.28766,6.60465,5.57924,3.52547,3.30001,1.8196,4.05699,20320,6.08099,0,0
605000,4.0144,4.2854,4.2854,6.60465,5.57924,3.52547,3.30001,1.8196,4.04422,20072,6.08549,0,0
610000,4.0672,4.28361,4.28362,6.60465,5.57924,3.52547,3.30001,1.8196,4.05111,20336,6.06632,0,0
615000,4.0752,4.28191,4.28193,6.60465,5.57924,3.52547,3.30001,1.8196,4.05834,20376,6.07667,0,0
620000,4.0144,4.27975,4.27976,6.60465,5.57924,3.52547,3.30001,1.8196,4.04516,20072,6.08751,0,0
625000,4.0272,4.27773,4.27774,6.60465,5.57924,3.52547,3.30001,1.8196,4.03977,20136,6.06773,0,0
630000,4.0624,4.27603,4.27604,6.60465,5.57924,3.52547,3.30001,1.8196,4.04656,20312,6.05965,0,0
635000,4.0176,4.27399,4.27399,6.60465,5.57924,3.52547,3.30001,1.8196,4.03787,20088,6.06984,0,0
640000,4.1152,4.27275,4.27277,6.60465,5.57924,3.52547,3.30001,1.8196,4.06107,20576,6.05681,0,0
645000,4.0656,4.27114,4.27116,6.60465,5.57924,3.52547,3.30001,1.8196,4.06243,20328,6.0916,0,0
650000,4.024,4.26924,4.26925,6.60465,5.57924,3.52547,3.30001,1.8196,4.0509,20120,6.09364,0,0
655000,4.0896,4.26787,4.26789,6.60465,5.57924,3.52547,3.30001,1.8196,4.06251,20448,6.07635,0,0
660000,4.0432,4.26617,4.26617,6.60465,5.57924,3.52547,3.30001,1.8196,4.05672,20216,6.09377,0,0
665000,4.032,4.26441,4.26442,6.60465,5.57924,3.52547,3.30001,1.8196,4.0493,20160,6.08508,0,0
670000,4.04,4.26273,4.26274,6.60465,5.57924,3.52547,3.30001,1.8196,4.04651,20200,6.07395,0,0
675000,4.0144,4.26089,4.26091,6.60465,5.57924,3.52547,3.30001,1.8196,4.03688,20072,6.06977,0,0
680000,4.0928,4.25966,4.25967,6.60465,5.57924,3.52547,3.30001,1.8196,4.05365,20464,6.05532,0,0
685000,3.9888,4.25768,4.25769,6.60465,5.57924,3.52547,3.30001,1.8196,4.0342,19944,6.08048,0,0
690000,4.0608,4.25626,4.25626,6.60465,5.57924,3.52547,3.30001,1.8196,4.04218,20304,6.0513,0,0
695000,4.032,4.25464,4.25465,6.60465,5.57924,3.52547,3.30001,1.8196,4.03913,20160,6.06327,0,0
700000,4.0048,4.25286,4.25286,6.60465,5.57924,3.52547,3.30001,1.8196,4.02883,20024,6.05869,0,0
705000,4.0288,4.25127,4.25127,6.60465,5.57924,3.52547,3.30001,1.8196,4.02882,20144,6.04324,0,0
710000,4.0528,4.24987,4.24987,6.60465,5.57924,3.52547,3.30001,1.8196,4.03601,20264,6.04323,0,0
715000,3.9936,4.24808,4.24809,6.60465,5.57924,3.52547,3.30001,1.8196,4.02329,19968,6.05402,0,0
720000,4.0144,4.24646,4.24646,6.60465,5.57924,3.52547,3.30001,1.8196,4.02062,20072,6.03493,0,0
725000,4.04,4.24503,4.24504,6.60465,5.57924,3.52547,3.30001,1.8196,4.02644,20200,6.03093,0,0
730000,3.9968,4.24333,4.24333,6.60465,5.57924,3.52547,3.30001,1.8196,4.01755,19984,6.03965,0,0
735000,4.0544,4.24205,4.24206,6.60465,5.57924,3.52547,3.30001,1.8196,4.0286,20272,6.02632,0,0
740000,4.0368,4.24066,4.24066,6.60465,5.57924,3.52547,3.30001,1.8196,4.03106,20184,6.0429,0,0
745000,4,4.23904,4.23905,6.60465,5.57924,3.52547,3.30001,1.8196,4.02174,20000,6.04659,0,0
750000,4.056,4.23782,4.23783,6.60465,5.57924,3.52547,3.30001,1.8196,4.03202,20280,6.03261,0,0
755000,3.976,4.23609,4.2361,6.60465,5.57924,3.52547,3.30001,1.8196,4.01521,19880,6.04803,0,0
760000,4.0048,4.23457,4.23458,6.60465,5.57924,3.52547,3.30001,1.8196,4.01209,20024,6.02282,0,0
765000,4.024,4.23319,4.2332,6.60465,5.57924,3.52547,3.30001,1.8196,4.01566,20120,6.01813,0,0
770000,4.0464,4.23198,4.23199,6.60465,5.57924,3.52547,3.30001,1.8196,4.02488,20232,6.02349,0,0
775000,4.0208,4.23062,4.23063,6.60465,5.57924,3.52547,3.30001,1.8196,4.02366,20104,6.03733,0,0
780000,3.9552,4.22885,4.22886,6.60465,5.57924,3.52547,3.30001,1.8196,4.00312,19776,6.03549,0,0
785000,4.0464,4.22769,4.22769,6.60465,5.57924,3.52547,3.30001,1.8196,4.0161,20232,6.00468,0,0
790000,3.9808,4.22613,4.22614,6.60465,5.57924,3.52547,3.30001,1.8196,4.00551,19904,6.02416,0,0
795000,3.9488,4.22438,4.22439,6.60465,5.57924,3.52547,3.30001,1.8196,3.9885,19744,6.00827,0,0
800000,3.9744,4.22282,4.22283,6.60465,5.57924,3.52547,3.30001,1.8196,3.98427,19872,5.98275,0,0
805000,4.0384,4.22167,4.22168,6.60465,5.57924,3.52547,3.30001,1.8196,4.00051,20192,5.9764,0,0
810000,3.9072,4.21973,4.21973,6.60465,5.57924,3.52547,3.30001,1.8196,3.97252,19536,6.00076,0,0
815000,3.9968,4.21837,4.21837,6.60465,5.57924,3.52547,3.30001,1.8196,3.9798,19984,5.95877,0,0
820000,4.032,4.21723,4.21723,6.60465,5.57924,3.52547,3.30001,1.8196,3.99546,20160,5.9697,0,0
825000,3.9328,4.21551,4.21552,6.60465,5.57924,3.52547,3.30001,1.8196,3.97666,19664,5.99319,0,0
830000,3.9776,4.21407,4.21408,6.60465,5.57924,3.52547,3.30001,1.8196,3.97694,19888,5.96499,0,0
835000,3.976,4.21265,4.21265,6.60465,5.57924,3.52547,3.30001,1.8196,3.97666,19880,5.96542,0,0
840000,3.888,4.21071,4.21072,6.60465,5.57924,3.52547,3.30001,1.8196,3.95006,19440,5.96499,0,0
845000,4.0064,4.20951,4.20951,6.60465,5.57924,3.52547,3.30001,1.8196,3.96696,20032,5.92509,0,0
850000,3.9552,4.20801,4.20802,6.60465,5.57924,3.52547,3.30001,1.8196,3.96343,19776,5.95045,0,0
855000,3.9328,4.2064,4.2064,6.60465,5.57924,3.52547,3.30001,1.8196,3.95424,19664,5.94515,0,0
860000,3.9216,4.20474,4.20475,6.60465,5.57924,3.52547,3.30001,1.8196,3.94445,19608,5.93137,0,0
865000,3.9296,4.20315,4.20317,6.60465,5.57924,3.52547,3.30001,1.8196,3.94,19648,5.91668,0,0
870000,3.968,4.2018,4.20181,6.60465,5.57924,3.52547,3.30001,1.8196,3.9484,19840,5.90999,0,0
875000,3.8096,4.19956,4.19957,6.60465,5.57924,3.52547,3.30001,1.8196,3.90676,19048,5.9226,0,0
880000,3.9456,4.19812,4.19813,6.60465,5.57924,3.52547,3.30001,1.8196,3.91841,19728,5.86014,0,0
885000,3.9808,4.19689,4.1969,6.60465,5.57924,3.52547,3.30001,1.8196,3.93713,19904,5.87762,0,0
890000,3.888,4.19516,4.19516,6.60465,5.57924,3.52547,3.30001,1.8196,3.92239,19440,5.90569,0,0
895000,3.9424,4.19374,4.19375,6.60465,5.57924,3.52547,3.30001,1.8196,3.92839,19712,5.88358,0,0
900000,3.9648,4.19247,4.19248,6.60465,5.57924,3.52547,3.30001,1.8196,3.93931,19824,5.89259,0,0
905000,3.872,4.1907,4.1907,6.60465,5.57924,3.52547,3.30001,1.8196,3.91912,19360,5.90897,0,0
