BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
260000,0.9888,0.719292,0.719301,2.42926,1.9466,1.33462,0.971891,0.657654,0.875156,4944,1.23968,0,0
265000,0.96,0.723834,0.723862,2.42926,1.9466,1.33462,0.971891,0.657654,0.900609,4800,1.31273,0,0
270000,0.92,0.727467,0.727485,2.42926,1.9466,1.33462,0.971891,0.657654,0.906427,4600,1.35091,0,0
275000,0.8368,0.729455,0.729472,2.42926,1.9466,1.33462,0.971891,0.657654,0.885539,4184,1.35964,0,0
280000,0.8256,0.731171,0.731178,2.42926,1.9466,1.33462,0.971891,0.657654,0.867557,4128,1.32831,0,0
285000,0.816,0.73266,0.732685,2.42926,1.9466,1.33462,0.971891,0.657654,0.85209,4080,1.30134,0,0
290000,0.792,0.733683,0.733695,2.42926,1.9466,1.33462,0.971891,0.657654,0.834063,3960,1.27813,0,0
295000,0.6976,0.733071,0.73308,2.42926,1.9466,1.33462,0.971891,0.657654,0.793124,3488,1.25109,0,0
300000,0.8144,0.734427,0.734457,2.42926,1.9466,1.33462,0.971891,0.657654,0.799507,4072,1.18969,0,0
305000,0.8032,0.735554,0.735579,2.42926,1.9466,1.33462,0.971891,0.657654,0.800615,4016,1.19926,0,0
310000,0.9072,0.738323,0.73833,2.42926,1.9466,1.33462,0.971891,0.657654,0.83259,4536,1.20092,0,0
315000,0.9104,0.741054,0.741077,2.42926,1.9466,1.33462,0.971891,0.657654,0.855933,4552,1.24889,0,0
320000,0.7584,0.741325,0.74134,2.42926,1.9466,1.33462,0.971891,0.657654,0.826673,3792,1.2839,0,0
325000,0.7856,0.742006,0.742023,2.42926,1.9466,1.33462,0.971891,0.657654,0.814351,3928,1.24001,0,0
330000,0.7136,0.741576,0.741596,2.42926,1.9466,1.33462,0.971891,0.657654,0.784126,3568,1.22153,0,0
335000,0.7456,0.741636,0.741641,2.42926,1.9466,1.33462,0.971891,0.657654,0.772568,3728,1.17619,0,0
340000,0.6768,0.740682,0.740706,2.42926,1.9466,1.33462,0.971891,0.657654,0.743838,3384,1.15885,0,0
345000,0.7792,0.741241,0.741248,2.42926,1.9466,1.33462,0.971891,0.657654,0.754446,3896,1.11576,0,0
350000,0.7264,0.741029,0.741047,2.42926,1.9466,1.33462,0.971891,0.657654,0.746032,3632,1.13167,0,0
355000,0.7056,0.74053,0.740537,2.42926,1.9466,1.33462,0.971891,0.657654,0.733903,3528,1.11905,0,0
360000,0.6832,0.739733,0.739748,2.42926,1.9466,1.33462,0.971891,0.657654,0.718692,3416,1.10085,0,0
365000,0.7424,0.73977,0.739789,2.42926,1.9466,1.33462,0.971891,0.657654,0.725804,3712,1.07804,0,0
370000,0.752,0.739935,0.739953,2.42926,1.9466,1.33462,0.971891,0.657654,0.733663,3760,1.08871,0,0
375000,0.7104,0.739541,0.739556,2.42926,1.9466,1.33462,0.971891,0.657654,0.726684,3552,1.10049,0,0
