BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
260000,2.472,2.74058,2.74061,6.59352,5.08637,2.46577,1.19117,0.723397,2.46519,12360,3.69341,0,0
265000,2.3824,2.73383,2.73386,6.59352,5.08637,2.46577,1.19117,0.723397,2.44035,11912,3.69779,0,0
270000,2.464,2.72883,2.72884,6.59352,5.08637,2.46577,1.19117,0.723397,2.44745,12320,3.66053,0,0
275000,2.4848,2.72439,2.72442,6.59352,5.08637,2.46577,1.19117,0.723397,2.45865,12424,3.67117,0,0
280000,2.5536,2.72134,2.72137,6.59352,5.08637,2.46577,1.19117,0.723397,2.48714,12768,3.68798,0,0
285000,2.3328,2.71453,2.71453,6.59352,5.08637,2.46577,1.19117,0.723397,2.44084,11664,3.73071,0,0
290000,2.456,2.71007,2.71008,6.59352,5.08637,2.46577,1.19117,0.723397,2.44539,12280,3.66125,0,0
295000,2.4992,2.70649,2.70652,6.59352,5.08637,2.46577,1.19117,0.723397,2.46153,12496,3.66808,0,0
300000,2.4208,2.70173,2.70176,6.59352,5.08637,2.46577,1.19117,0.723397,2.44931,12104,3.69229,0,0
305000,2.4928,2.69831,2.69833,6.59352,5.08637,2.46577,1.19117,0.723397,2.46236,12464,3.67397,0,0
310000,2.4752,2.69471,2.69473,6.59352,5.08637,2.46577,1.19117,0.723397,2.46621,12376,3.69354,0,0
315000,2.3712,2.68957,2.68959,6.59352,5.08637,2.46577,1.19117,0.723397,2.43771,11856,3.69932,0,0
320000,2.4272,2.68547,2.6855,6.59352,5.08637,2.46577,1.19117,0.723397,2.43456,12136,3.65656,0,0
325000,2.488,2.68244,2.68246,6.59352,5.08637,2.46577,1.19117,0.723397,2.45059,12440,3.65183,0,0
330000,2.4304,2.67862,2.67864,6.59352,5.08637,2.46577,1.19117,0.723397,2.44453,12152,3.67588,0,0
335000,2.4528,2.67525,2.67526,6.59352,5.08637,2.46577,1.19117,0.723397,2.44701,12264,3.6668,0,0
340000,2.4192,2.67148,2.67151,6.59352,5.08637,2.46577,1.19117,0.723397,2.43867,12096,3.67052,0,0
345000,2.3856,2.66734,2.66736,6.59352,5.08637,2.46577,1.19117,0.723397,2.42275,11928,3.658,0,0
350000,2.4784,2.66464,2.66465,6.59352,5.08637,2.46577,1.19117,0.723397,2.43944,12392,3.63412,0,0
355000,2.3936,2.66082,2.66083,6.59352,5.08637,2.46577,1.19117,0.723397,2.42569,11968,3.65917,0,0
360000,2.5568,2.65938,2.6594,6.59352,5.08637,2.46577,1.19117,0.723397,2.46502,12784,3.63854,0,0
365000,2.4464,2.65646,2.65648,6.59352,5.08637,2.46577,1.19117,0.723397,2.45944,12232,3.69754,0,0
370000,2.4896,2.65421,2.65422,6.59352,5.08637,2.46577,1.19117,0.723397,2.46849,12448,3.68915,0,0
375000,2.448,2.65146,2.65146,6.59352,5.08637,2.46577,1.19117,0.723397,2.46234,12240,3.70273,0,0
380000,2.4768,2.64916,2.64917,6.59352,5.08637,2.46577,1.19117,0.723397,2.46668,12384,3.69351,0,0
385000,2.4752,2.6469,2.64692,6.59352,5.08637,2.46577,1.19117,0.723397,2.46923,12376,3.70002,0,0
390000,2.4896,2.64488,2.6449,6.59352,5.08637,2.46577,1.19117,0.723397,2.47534,12448,3.70385,0,0
395000,2.5232,2.64334,2.64335,6.59352,5.08637,2.46577,1.19117,0.723397,2.4897,12616,3.71302,0,0
400000,2.4848,2.64136,2.64137,6.59352,5.08637,2.46577,1.19117,0.723397,2.48823,12424,3.73455,0,0
405000,2.4768,2.63933,2.63935,6.59352,5.08637,2.46577,1.19117,0.723397,2.4848,12384,3.73235,0,0
410000,2.4096,2.63653,2.63653,6.59352,5.08637,2.46577,1.19117,0.723397,2.46224,12048,3.7272,0,0
415000,2.3472,2.63304,2.63306,6.59352,5.08637,2.46577,1.19117,0.723397,2.42773,11736,3.69336,0,0
