Kmax,BPS_final_PPM-C,Tempo_comp_total_s_PPM-C,Tempo_decomp_total_s_PPM-C,BPS_7z,Tempo_comp_total_s_7z,Tempo_decomp_total_s_7z,Obs
0,4.908731,118.257221,118.613114,1.806919,56.367817,63.882255,
1,3.609492,192.805938,162.346963,1.806919,56.367817,63.882255,
2,2.726218,362.558317,266.299081,1.806919,56.367817,63.882255,
3,2.345332,742.081957,532.316827,1.806919,56.367817,63.882255,
4,2.170629,1706.28464,1356.125197,1.806919,56.367817,63.882255,Melhor BPS entre os K testados
