BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
260000,7.472,5.19129,5.19132,6.09451,4.21667,2.74361,1.62898,1.17049,7.74133,37360,11.7851,0,1
265000,8.2896,5.24975,5.24977,6.09451,4.21667,2.74361,1.62898,1.17049,7.90581,41448,11.612,0,1
270000,8.7648,5.31484,5.31486,6.09451,4.21667,2.74361,1.62898,1.17049,8.16351,43824,11.8587,0,1
275000,8.7296,5.37693,5.37694,6.09451,4.21667,2.74361,1.62898,1.17049,8.33334,43648,12.2453,0,1
280000,7.9632,5.42311,5.42313,6.09451,4.21667,2.74361,1.62898,1.17049,8.22229,39816,12.5,0,1
285000,2.3072,5.36845,5.36848,6.09451,4.21667,2.74361,1.62898,1.17049,6.44777,11536,12.3334,0,1
290000,1.8128,5.30714,5.30717,6.09451,4.21667,2.74361,1.62898,1.17049,5.05728,9064,9.67165,0,1
295000,1.752,5.24689,5.2469,6.09451,4.21667,2.74361,1.62898,1.17049,4.06569,8760,7.58591,0,1
300000,1.7904,5.18928,5.18929,6.09451,4.21667,2.74361,1.62898,1.17049,3.38311,8952,6.09854,0,1
305000,1.7104,5.13225,5.13225,6.09451,4.21667,2.74361,1.62898,1.17049,2.88129,8552,5.07466,0,1
310000,1.6512,5.0761,5.07614,6.09451,4.21667,2.74361,1.62898,1.17049,2.51227,8256,4.32194,0,1
315000,1.6448,5.02164,5.02165,6.09451,4.21667,2.74361,1.62898,1.17049,2.25203,8224,3.7684,0,1
320000,1.6064,4.96828,4.96829,6.09451,4.21667,2.74361,1.62898,1.17049,2.05834,8032,3.37804,0,1
325000,3.7232,4.94912,4.94913,6.09451,4.21667,2.74361,1.62898,1.17049,2.5578,18616,3.08751,0,1
330000,2.5136,4.91222,4.91223,6.09451,4.21667,2.74361,1.62898,1.17049,2.54454,12568,3.8367,0,1
335000,0.56,4.84726,4.84727,6.09451,4.21667,2.74361,1.62898,1.17049,1.94918,2800,3.81681,0,1
340000,1.7088,4.80111,4.80111,6.09451,4.21667,2.74361,1.62898,1.17049,1.87706,8544,2.92376,0,1
345000,2.7552,4.77146,4.77146,6.09451,4.21667,2.74361,1.62898,1.17049,2.1405,13776,2.8156,0,1
350000,3.1888,4.74885,4.74887,6.09451,4.21667,2.74361,1.62898,1.17049,2.45499,15944,3.21076,0,1
355000,2.6944,4.71991,4.71993,6.09451,4.21667,2.74361,1.62898,1.17049,2.52682,13472,3.68249,0,1
360000,2.6368,4.69098,4.69099,6.09451,4.21667,2.74361,1.62898,1.17049,2.55981,13184,3.79022,0,1
365000,1.1936,4.64307,4.64308,6.09451,4.21667,2.74361,1.62898,1.17049,2.14995,5968,3.83972,0,1
370000,0.3776,4.58543,4.58543,6.09451,4.21667,2.74361,1.62898,1.17049,1.61824,1888,3.22492,0,1
375000,0.8336,4.5354,4.53541,6.09451,4.21667,2.74361,1.62898,1.17049,1.38285,4168,2.42736,0,1
380000,2.7712,4.51219,4.5122,6.09451,4.21667,2.74361,1.62898,1.17049,1.79936,13856,2.07428,0,1
385000,1.7008,4.47568,4.47568,6.09451,4.21667,2.74361,1.62898,1.17049,1.76979,8504,2.69903,0,1
390000,1.9168,4.44287,4.44288,6.09451,4.21667,2.74361,1.62898,1.17049,1.81389,9584,2.65468,0,1
395000,2.8336,4.4225,4.42251,6.09451,4.21667,2.74361,1.62898,1.17049,2.1198,14168,2.72084,0,1
400000,1.2384,4.3827,4.38271,6.09451,4.21667,2.74361,1.62898,1.17049,1.85538,6192,3.17971,0,1
405000,2.8768,4.36411,4.36412,6.09451,4.21667,2.74361,1.62898,1.17049,2.16181,14384,2.78307,0,1
410000,2.0784,4.33623,4.33624,6.09451,4.21667,2.74361,1.62898,1.17049,2.13679,10392,3.24271,0,1
415000,2.6448,4.31586,4.31587,6.09451,4.21667,2.74361,1.62898,1.17049,2.28919,13224,3.20518,0,1
420000,1.6736,4.2844,4.28442,6.09451,4.21667,2.74361,1.62898,1.17049,2.10451,8368,3.43379,0,1
425000,2.2016,4.2599,4.2599,6.09451,4.21667,2.74361,1.62898,1.17049,2.13364,11008,3.15677,0,1
430000,1.4976,4.22778,4.22779,6.09451,4.21667,2.74361,1.62898,1.17049,1.94283,7488,3.20046,0,1
435000,1.9584,4.20169,4.2017,6.09451,4.21667,2.74361,1.62898,1.17049,1.9475,9792,2.91424,0,1
